time,id,channel,phase,rssi,antenna
2025-06-27T16:50:59.130468300,e2801160600002152d19da1e,28,16,-6400,1
2025-06-27T16:50:59.130468300,e2801160600002152d19dace,28,1976,-5900,1
2025-06-27T16:50:59.130468300,e2801160600002152d19b0fe,28,464,-5450,1
2025-06-27T16:50:59.130468300,e2801160600002152d19b00e,28,1684,-5850,1
2025-06-27T16:50:59.130468300,e2801160600002152d19b07e,28,2312,-5950,1
2025-06-27T16:50:59.130468300,e2801160600002152d19b0ce,28,1816,-6050,1
2025-06-27T16:50:59.130468300,e2801160600002152d19b03e,28,1688,-5200,1
2025-06-27T16:50:59.130468300,e2801160600002152d19da1e,28,4084,-6450,1
2025-06-27T16:50:59.130468300,e2801160600002152d19da4e,28,1288,-5750,1
2025-06-27T16:50:59.130468300,e2801160600002152d19da3e,28,2276,-5550,1
2025-06-27T16:50:59.130468300,e2801160600002152d19da2e,28,512,-6200,1
2025-06-27T16:50:59.130468300,e2801160600002152d19b0de,28,1136,-6150,1
2025-06-27T16:50:59.130468300,e2801160600002152d19da3e,28,2608,-6500,2
2025-06-27T16:50:59.130468300,e2801160600002152d19b0ce,28,152,-6050,2
2025-06-27T16:50:59.132467500,e2801160600002152d19da4e,28,3212,-5550,2
2025-06-27T16:50:59.132467500,e2801160600002152d19b0de,28,2388,-6100,2
2025-06-27T16:50:59.132467500,e2801160600002152d19da5e,28,1312,-5400,2
2025-06-27T16:50:59.132467500,e2801160600002152d19b07e,28,2588,-6200,2
2025-06-27T16:50:59.132467500,e2801160600002152d19da2e,28,2928,-5850,2
2025-06-27T16:50:59.132467500,e2801160600002152d19dace,28,444,-6000,2
2025-06-27T16:50:59.132467500,e2801160600002152d19da1e,28,2460,-6500,2
2025-06-27T16:50:59.132467500,e2801160600002152d19b0fe,28,2804,-5850,2
2025-06-27T16:50:59.164882100,e2801160600002152d19b0ce,28,140,-6050,2
2025-06-27T16:50:59.164882100,e2801160600002152d19da2e,28,2896,-5900,2
2025-06-27T16:50:59.164882100,e2801160600002152d19da5e,28,1320,-5450,2
2025-06-27T16:50:59.164882100,e2801160600002152d19da3e,28,2344,-6400,2
2025-06-27T16:50:59.164882100,e2801160600002152d19b0de,28,2460,-6100,2
2025-06-27T16:50:59.164882100,e2801160600002152d19da4e,28,3228,-5550,2
2025-06-27T16:50:59.164882100,e2801160600002152d19dace,28,404,-6000,2
2025-06-27T16:50:59.164882100,e2801160600002152d19da1e,28,2656,-6500,2
2025-06-27T16:50:59.164882100,e2801160600002152d19b07e,28,2528,-6250,2
2025-06-27T16:50:59.164882100,e2801160600002152d19b0fe,28,2768,-5850,2
2025-06-27T16:50:59.164882100,e2801160600002152d19da2e,28,2092,-6050,3
2025-06-27T16:50:59.164882100,e2801160600002152d19dace,28,384,-5850,3
2025-06-27T16:50:59.164882100,e2801160600002152d19b03e,28,2184,-5700,3
2025-06-27T16:50:59.164882100,e2801160600002152d19b0fe,28,384,-5800,3
2025-06-27T16:50:59.164882100,e2801160600002152d19b07e,28,776,-5850,3
2025-06-27T16:50:59.164882100,e2801160600002152d19da1e,28,2184,-7000,3
2025-06-27T16:50:59.164882100,e2801160600002152d19b00e,28,2456,-5950,3
2025-06-27T16:50:59.164882100,e2801160600002152d19da3e,28,2612,-5750,3
2025-06-27T16:50:59.164882100,e2801160600002152d19b0de,28,2756,-6950,3
2025-06-27T16:50:59.164882100,e2801160600002152d19da4e,28,460,-5900,3
2025-06-27T16:50:59.164882100,e2801160600002152d19da5e,28,2256,-6150,3
2025-06-27T16:50:59.164882100,e2801160600002152d19b0ce,28,2220,-6000,3
